Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2014,Oklahoma City Thunder,59,23,0.72,—,106.2,99.8,6.66,Y,N
2014,Portland Trail Blazers,54,28,0.659,5.0,106.7,102.8,4.44,Y,N
2014,Minnesota Timberwolves,40,42,0.488,19.0,106.9,104.3,3.1,N,Y
2014,Denver Nuggets,36,46,0.439,23.0,104.4,106.5,-1.4,N,Y
2014,Utah Jazz,25,57,0.305,34.0,95.0,102.2,-6.27,N,Y
2014,Los Angeles Clippers,57,25,0.695,—,107.9,101.0,7.27,Y,N
2014,Golden State Warriors,51,31,0.622,6.0,104.3,99.5,5.15,Y,N
2014,Phoenix Suns,48,34,0.585,9.0,105.2,102.6,3.02,N,N
2014,Sacramento Kings,28,54,0.341,29.0,100.5,103.4,-2.08,N,Y
2014,Los Angeles Lakers,27,55,0.329,30.0,103.0,109.2,-5.33,N,Y
2014,San Antonio Spurs,62,20,0.756,—,105.4,97.6,8.0,Y,N
2014,Houston Rockets,54,28,0.659,8.0,107.7,103.1,5.06,Y,N
2014,Memphis Grizzlies,50,32,0.61,12.0,96.1,94.6,2.18,Y,N
2014,Dallas Mavericks,49,33,0.598,13.0,104.8,102.4,2.91,Y,N
2014,New Orleans Pelicans,34,48,0.415,28.0,99.7,102.4,-1.98,N,Y
