Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2012,Oklahoma City Thunder,47,19,0.712,—,103.1,96.9,6.44,Y,N
2012,Denver Nuggets,38,28,0.576,9.0,104.1,101.2,3.16,Y,N
2012,Utah Jazz,36,30,0.545,11.0,99.7,99.0,0.92,Y,N
2012,Portland Trail Blazers,28,38,0.424,19.0,97.2,97.8,-0.22,N,Y
2012,Minnesota Timberwolves,26,40,0.394,21.0,97.9,100.1,-1.83,N,Y
2012,Los Angeles Lakers,41,25,0.621,—,97.3,95.9,1.96,Y,N
2012,Los Angeles Clippers,40,26,0.606,1.0,97.5,95.0,2.82,Y,N
2012,Phoenix Suns,33,33,0.5,8.0,98.4,98.6,0.29,N,N
2012,Golden State Warriors,23,43,0.348,18.0,97.8,101.2,-2.79,N,Y
2012,Sacramento Kings,22,44,0.333,19.0,98.8,104.4,-4.95,N,Y
2012,San Antonio Spurs,50,16,0.758,—,103.7,96.5,7.28,Y,N
2012,Memphis Grizzlies,41,25,0.621,9.0,95.0,93.0,2.43,Y,N
2012,Dallas Mavericks,36,30,0.545,14.0,95.8,94.8,1.78,Y,N
2012,Houston Rockets,34,32,0.515,16.0,98.1,97.9,0.57,N,N
2012,New Orleans Hornets,21,45,0.318,29.0,89.6,93.4,-3.11,N,Y
