Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2010,Boston Celtics,50,32,0.61,—,99.2,95.6,3.37,Y,N
2010,Toronto Raptors,40,42,0.488,10.0,104.1,105.9,-1.83,N,Y
2010,New York Knicks,29,53,0.354,21.0,102.1,105.9,-4.01,N,Y
2010,Philadelphia 76ers,27,55,0.329,23.0,97.7,101.6,-3.93,N,Y
2010,New Jersey Nets,12,70,0.146,38.0,92.4,101.5,-8.93,N,Y
2010,Cleveland Cavaliers,61,21,0.744,—,102.1,95.6,6.17,Y,N
2010,Milwaukee Bucks,46,36,0.561,15.0,97.7,96.0,1.37,Y,N
2010,Chicago Bulls,41,41,0.5,20.0,97.5,99.1,-1.64,Y,N
2010,Indiana Pacers,32,50,0.39,29.0,100.8,103.8,-3.11,N,Y
2010,Detroit Pistons,27,55,0.329,34.0,94.0,99.1,-5.02,N,Y
2010,Orlando Magic,59,23,0.72,—,102.8,95.3,7.12,Y,N
2010,Atlanta Hawks,53,29,0.646,6.0,101.7,97.0,4.44,Y,N
2010,Miami Heat,47,35,0.573,12.0,96.5,94.2,1.99,Y,N
2010,Charlotte Bobcats,44,38,0.537,15.0,95.3,93.8,1.3,Y,N
2010,Washington Wizards,26,56,0.317,33.0,96.2,101.0,-4.72,N,Y
