Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2015,Portland Trail Blazers,51,31,0.622,—,102.8,98.6,4.41,Y,N
2015,Oklahoma City Thunder,45,37,0.549,6.0,104.0,101.8,2.47,N,N
2015,Utah Jazz,38,44,0.463,13.0,95.1,94.9,0.71,N,Y
2015,Denver Nuggets,30,52,0.366,21.0,101.5,105.0,-3.07,N,Y
2015,Minnesota Timberwolves,16,66,0.195,35.0,97.8,106.5,-8.0,N,Y
2015,Golden State Warriors,67,15,0.817,—,110.0,99.9,10.01,Y,N
2015,Los Angeles Clippers,56,26,0.683,11.0,106.7,100.1,6.8,Y,N
2015,Phoenix Suns,39,43,0.476,28.0,102.4,103.3,-0.38,N,Y
2015,Sacramento Kings,29,53,0.354,38.0,101.3,105.0,-3.07,N,Y
2015,Los Angeles Lakers,21,61,0.256,46.0,98.5,105.3,-6.17,N,Y
2015,Houston Rockets,56,26,0.683,—,103.9,100.5,3.82,Y,N
2015,Memphis Grizzlies,55,27,0.671,1.0,98.3,95.1,3.62,Y,N
2015,San Antonio Spurs,55,27,0.671,1.0,103.2,97.0,6.34,Y,N
2015,Dallas Mavericks,50,32,0.61,6.0,105.2,102.3,3.36,Y,N
2015,New Orleans Pelicans,45,37,0.549,11.0,99.4,98.6,1.13,Y,N
