Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2013,Oklahoma City Thunder,60,22,0.732,—,105.7,96.5,9.15,Y,N
2013,Denver Nuggets,57,25,0.695,3.0,106.1,101.1,5.37,Y,N
2013,Utah Jazz,43,39,0.524,17.0,98.0,98.1,0.3,N,N
2013,Portland Trail Blazers,33,49,0.402,27.0,97.5,100.7,-2.53,N,Y
2013,Minnesota Timberwolves,31,51,0.378,29.0,95.7,98.1,-1.83,N,Y
2013,Los Angeles Clippers,56,26,0.683,—,101.1,94.6,6.43,Y,N
2013,Golden State Warriors,47,35,0.573,9.0,101.2,100.3,1.32,Y,N
2013,Los Angeles Lakers,45,37,0.549,11.0,102.2,101.0,1.48,Y,N
2013,Sacramento Kings,28,54,0.341,28.0,100.2,105.1,-4.26,N,Y
2013,Phoenix Suns,25,57,0.305,31.0,95.2,101.6,-5.75,N,Y
2013,San Antonio Spurs,58,24,0.707,—,103.0,96.6,6.67,Y,N
2013,Memphis Grizzlies,56,26,0.683,2.0,93.4,89.3,4.32,Y,N
2013,Houston Rockets,45,37,0.549,13.0,106.0,102.5,3.69,Y,N
2013,Dallas Mavericks,41,41,0.5,17.0,101.1,101.7,-0.24,N,N
2013,New Orleans Hornets,27,55,0.329,31.0,94.1,97.9,-3.12,N,Y
