Year,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Playoffs,Losing_season
2022,Phoenix Suns,64,18,0.78,—,114.8,107.3,6.94,Y,N
2022,Memphis Grizzlies,56,26,0.683,8.0,115.6,109.9,5.37,Y,N
2022,Golden State Warriors,53,29,0.646,11.0,111.0,105.5,5.52,Y,N
2022,Dallas Mavericks,52,30,0.634,12.0,108.0,104.7,3.12,Y,N
2022,Utah Jazz,49,33,0.598,15.0,113.6,107.6,5.67,Y,N
2022,Denver Nuggets,48,34,0.585,16.0,112.7,110.4,2.16,Y,N
2022,Minnesota Timberwolves,46,36,0.561,18.0,115.9,113.3,2.53,Y,N
2022,Los Angeles Clippers,42,40,0.512,22.0,108.4,108.4,0.09,N,N
2022,New Orleans Pelicans,36,46,0.439,28.0,109.3,110.3,-0.84,Y,Y
2022,San Antonio Spurs,34,48,0.415,30.0,113.2,113.0,0.02,N,Y
2022,Los Angeles Lakers,33,49,0.402,31.0,112.1,115.1,-3.08,N,Y
2022,Sacramento Kings,30,52,0.366,34.0,110.3,115.8,-5.26,N,Y
2022,Portland Trail Blazers,27,55,0.329,37.0,106.2,115.1,-8.55,N,Y
2022,Oklahoma City Thunder,24,58,0.293,40.0,103.7,111.8,-7.9,N,Y
2022,Houston Rockets,20,62,0.244,44.0,109.7,118.2,-8.26,N,Y
